City,MAE,RMSE,MAPE,R2
Delhi,9.741999626159668,13.833999633789062,5.996,0.9874
Mumbai,5.126999855041504,6.284999847412109,7.893,0.9388
Kolkata,8.873000144958496,10.86299991607666,16.397,0.8993
Chennai,15.465999603271484,21.687000274658203,18.912,0.6808
